2017 Sept,100,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,105,105,95,95
2017 Oct,95,95,95,95,95,95,95,95,95,95,95,95,115,115,115,95,95,95,105,105,115,105,105,95,95
2017 Nov,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2017 Dec,99,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2018 Jan,92,95,95,95,95,95,95,95,95,95,95,95,95,95,105,105,105,105,105,105,105,105,105,95,95
2018 Feb,92,95,95,95,95,85,85,85,85,85,85,95,95,95,95,95,95,95,95,95,95,95,95,95,85
