2017 August,49,45,45,42,45,45,53,48,48,52,53,62,72,62,72,75,78,78,72,72,68,52,42,40,38
2017 Oct,70,38,28,22,24,33,49,52,62,58,58,69,56,52,50,58,48,68,78,60,56,48,73,68,72
2017 Nov,50,98,92,88,74,82,72,78,82,78,78,70,77,68,78,72,62,62,68,55,48,48,52,58,62
2017 Dec,33,58,59,65,72,82,72,78,78,68,68,68,58,48,42,38,38,33,29,28,28,28,22,23,22
2018 Jan,28,22,28,28,28,33,38,28,33,33,33,33,42,48,48,38,42,37,38,40,33,28,22,19,18
2018 Feb,37,18,13,14,22,28,28,19,19,20,19,18,18,22,22,28,23,28,26,28,28,22,23,28,33
