2017 August,68,95,95,95,95,95,95,85,85,75,75,75,75,85,85,85,85,75,75,65,75,65,65,75,75
2017 Oct,54,65,65,65,65,45,55,55,55,55,55,45,45,45,45,55,65,65,85,65,65,65,55,53,55
2017 Nov,53,53,55,55,55,55,55,53,55,55,55,55,55,53,55,53,53,55,55,53,53,53,53,53,53
2017 Dec,59,53,53,53,95,53,53,55,55,53,53,53,53,53,53,53,53,53,53,53,43,43,43,43,43
2018 Jan,68,43,43,43,43,43,43,43,65,75,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
2018 Feb,86,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,75,75,75,75,75,75,78,75
