2017 Sept,73,62,62,68,78,62,62,72,92,93,88,68,68,62,63,68,62,62,62,72,72,62,62,68,82
2017 Oct,96,78,78,78,78,78,78,77,78,78,78,62,68,62,62,68,58,68,65,66,62,78,62,92,98
2017 June,76,48,48,47,48,48,48,48,52,48,48,52,52,51,54,58,58,58,82,68,68,78,79,62,62
2018 Jan,33,42,42,42,42,42,42,52,52,52,48,48,48,48,48,48,52,52,48,42,48,48,42,43,42
2017 April,50,30,28,29,28,33,33,33,33,33,33,28,32,48,42,52,52,52,43,48,48,52,52,48,47
2018 Feb,29,42,38,38,33,33,38,38,38,38,38,28,28,28,29,29,29,29,33,33,33,28,28,28,28
