2017 Sept,60,88,88,85,78,68,68,68,58,48,48,48,47,48,52,58,56,62,63,48,48,48,48,48,48
2017 Oct,88,42,48,48,47,42,42,43,58,58,62,78,78,62,52,58,62,32,78,68,62,68,72,78,92
2017 Nov,67,105,92,92,92,88,82,82,88,82,83,92,98,82,88,82,78,78,98,88,88,88,88,86,88
2017 Dec,42,88,88,88,88,98,98,105,102,92,68,72,68,58,58,42,52,48,39,38,42,42,42,42,42
2018 Jan,38,42,42,42,42,42,39,42,42,42,42,42,42,42,48,52,48,48,42,43,38,41,41,38,38
2018 Feb,40,38,33,33,33,33,41,38,42,42,42,42,42,42,38,38,38,38,38,38,38,38,38,38,38
